Lot No.,Vendor,Item Description,Reserve
1,8.74606E+15,Ewizlof,$150.62
2,4202795943067648,Toikhaw,$643.58
3,4357517419216896,Kojisal,"$9,282.47"
4,6672518729433088,Pikjuomo,$726.97
5,6.31445E+15,Ednicuj,$892.34
6,4.47204E+15,Lehzoinu,"$9,675.06"
7,8588384637288448,Vajnajven,"$5,823.83"
8,2.54035E+15,Tedowar,"$5,947.96"
9,630332342665216,Himgofasi,"$1,761.01"
10,1597887341395968,Judezesi,"$4,090.02"
11,7019998312660992,Gubifag,"$4,790.96"
12,2.00413E+15,Logitojop,"$9,066.76"
13,5.57532E+15,Rimuljog,$807.69
14,5.22156E+15,Nameek,"$5,373.86"
15,7.37536E+15,Esuladol,$391.14
16,4573051379253248,Pamecni,"$6,403.62"
17,3335676323954688,Wiwane,"$9,247.56"
18,6894503765999616,Asobevjas,"$9,751.21"
19,7392104873459712,Pojmejen,"$2,323.50"
20,8682010646151168,Wilulhic,$807.25
21,7476076844417024,Wefjafow,"$1,499.74"
22,8847933470408704,Hoblelog,"$6,668.35"
23,684134569607168,Iloriti,"$7,521.08"
24,2232993485684736,Ahjero,"$3,494.96"
25,5912186037731328,Zitpaso,"$2,009.78"
26,8984131453059072,Uzitekva,"$8,310.36"
27,2.01289E+15,Ginolvif,"$6,300.38"
28,8.96785E+15,Hidikta,"$3,398.45"
29,6969520023404544,Matpanoj,"$2,883.60"
30,3.18556E+15,Fuvakog,"$8,900.29"
31,1763519190007808,Mamkegaw,"$2,395.66"
32,4781446774390784,Uswillo,$0.46
33,1091457052049408,Rajije,"$8,956.41"
34,6849843748143104,Nawwotuf,"$9,041.69"
35,1004060366864384,Pakkuflu,"$5,095.73"
36,4300807086276608,Gokihur,"$7,325.65"
37,7466108818817024,Suceli,"$6,709.53"
38,3990056983330816,Kigepazo,"$1,938.66"
39,4391981784498176,Marjige,"$7,934.17"
40,4414361412042752,Bubsasa,"$1,953.63"
41,5461424310583296,Diezofiw,"$2,467.96"
42,7350128230793216,Dilismo,"$2,201.33"
43,4742931537723392,Tulcuwkih,"$3,836.43"
44,1719554837315584,Hecobi,"$3,973.54"
45,1.69021E+15,Wusutno,"$7,592.95"
46,466686645895168,Azovufhof,"$1,101.00"
47,7.25103E+15,Jowbuuwe,"$4,540.89"
48,405725792698368,Kikpolna,"$9,584.43"
49,5.0382E+15,Catibhim,"$9,917.55"
50,6722536607842304,Itisonmus,"$7,790.07"
51,5716672390365184,Liepici,"$6,145.61"
52,6122464998326272,Sirifezu,"$1,889.18"
53,8555277416660992,Lobidemah,"$8,175.69"
54,6.48891E+15,Ajocegob,"$4,968.77"
55,5609090275344384,Uvluruw,"$7,804.96"
56,5.00445E+15,Bewotac,"$7,007.69"
57,2575560588918784,Zeokig,"$4,915.38"
58,6396877337526272,Warawwa,"$8,458.12"
59,4493887554977792,Pofvumgir,"$8,110.57"
60,3155115296948224,Hecinmom,"$5,131.84"
61,6216686629814272,Jakhujdin,"$4,359.31"
62,2994851824009216,Demwiavi,"$6,698.80"
63,3.20756E+15,Erukofok,"$6,636.97"
64,6574375438385152,Zolinet,"$5,958.35"
65,4236703692750848,Hasitrig,"$6,726.78"
66,6771565135921152,Hewvufu,"$6,323.01"
67,3299204833214464,Inomasosi,"$8,068.63"
68,2509955718447104,Coevti,"$7,447.60"
69,8892300291735552,Utepico,"$1,304.67"
70,5088889920290816,Owjasdan,"$9,844.33"
71,8607217492164608,Rulizizi,"$9,655.62"
72,4328258130673664,Nonciwu,"$3,340.61"
73,6184472110170112,Nuumofez,"$1,831.04"
74,1066287729999872,Duanki,"$1,907.96"
75,85966205222912,Tijparow,"$5,969.07"
76,6509990009372672,Ashuspab,"$2,088.47"
77,5033164877594624,Cazenel,"$8,965.78"
78,2025356466847744,Nujiti,$984.64
79,7894299232436224,Navnerse,"$6,972.33"
80,3892883306315776,Esrusac,"$5,854.05"
81,6.61769E+15,Hehoben,"$8,995.27"
82,1724593536499712,Hikepo,$700.88
83,8749584960454656,Efibirvak,"$4,218.05"
84,3423570076106752,Bawtugler,"$3,000.84"
85,75331706814464,Gejujob,"$6,401.81"
86,6023240730279936,Ludofibu,"$6,016.68"
87,6780041551675392,Ipiimehob,"$6,129.90"
88,6203157390557184,Samitig,"$8,196.47"
89,6540969958703104,Worzenwa,"$9,272.90"
90,3434747072086016,Ezubepam,"$4,754.28"
91,6033231056994304,Benopu,"$1,423.03"
92,5783712113360896,Acuimsu,"$4,972.39"
93,4971965917954048,Rirpalob,"$7,698.78"
94,4504308533952512,Cefukagi,"$5,290.25"
95,2.99708E+15,Tudagasul,$915.77
96,2725737425534976,Nobhaeh,"$9,676.19"
97,1554600505114624,Gitvujit,"$6,020.66"
98,1302305708179456,Vubsija,"$3,656.36"
99,4495387563917312,Cekudo,"$6,650.35"
100,717484082593792,Gafusnaz,$580.43
101,7148508622618624,Riciklij,"$8,319.40"
102,569121416675328,Noevisic,"$1,552.75"
103,5701857892630528,Aconime,"$9,560.29"
104,5582536484847616,Nowkelo,"$8,056.78"
105,193120574636032,Sivfoud,"$3,126.73"
106,2.52706E+15,Nuzavep,"$2,404.62"
107,6596341952151552,Zalaagi,"$4,218.86"
108,2320740407836672,Womvesvow,"$3,490.45"
109,6362159774695424,Wajosule,"$3,414.83"
110,7.76716E+15,Hozmorhu,"$1,174.35"
111,4230420551958528,Umidober,"$2,037.66"
112,7.62663E+15,Normupi,"$6,502.73"
113,2244370914869248,Kuhupsi,$424.32
114,6806564449026048,Cujvihse,$516.13
115,4357565913759744,Deffeseg,$776.01
116,4720848076275712,Wocodbap,"$6,037.31"
117,7330532432019456,Lenadsum,"$9,951.44"
118,6750260361691136,Zisoepu,$270.29
119,3695233522991104,Fopolaje,$285.34
120,3.18438E+15,Lihzaawe,"$3,934.68"
121,4.70575E+15,Ikejvu,"$9,907.93"
122,1728192586973184,Pofalu,"$3,020.86"
123,8094449026465792,Zigebes,"$8,079.64"
124,4061257560752128,Abelowel,"$5,932.77"
125,3290589049126912,Tutefit,"$5,990.51"
126,2185557341896704,Bucackun,"$6,913.79"
127,2457809750851584,Bewapfaf,"$8,192.31"
128,191635761659904,Madadkud,"$1,125.57"
129,7513239594205184,Fiocebit,$153.14
130,3685509305991168,Jufkirkej,"$4,286.73"
131,6026704847896576,Buazbow,"$1,287.97"
132,6642857236496384,Foongip,"$2,286.07"
133,5039586161983488,Unauwme,$369.50
134,349368901173248,Peznaof,"$9,066.08"
135,5073866110009344,Fouspi,"$6,701.58"
136,3151258904952832,Owezagu,$640.57
137,1010624339378176,Penizdib,$409.00
138,217769385656320,Vamuldet,"$1,271.39"
139,7633113987416064,Jekahob,"$4,839.39"
140,1340013688127488,Baecuzih,"$6,544.83"
141,3599535991422976,Vorifi,"$4,842.65"
142,2656040504000512,Ripemker,"$4,465.86"
143,3743774068965376,Ubipijiw,"$6,105.12"
144,8874504879079424,Ifnazep,"$4,161.27"
145,5245683311312896,Jalbofkup,$338.49
146,366764909133824,Natohru,"$2,140.36"
147,564900573216768,Zominji,$969.29
148,2978597738381312,Wahvomte,"$4,459.90"
149,1274859376082944,Pasuccad,"$9,580.15"
150,2829214961106944,Hausawab,$180.31
151,6464387770482688,Kewocoh,"$5,138.59"
152,5724956992208896,Tefopot,"$8,669.19"
153,8.56244E+15,Laener,"$7,641.47"
154,442393318916096,Johnedtiv,"$1,067.31"
155,8.55665E+15,Hijcuot,"$4,840.42"
156,2.24291E+15,Sabohusis,"$7,526.55"
157,6.35167E+15,Titamiw,"$5,440.70"
158,6.01285E+15,Tifuli,"$7,009.56"
159,2625327853469696,Urameig,"$2,051.88"
160,2989519492087808,Jigiguw,"$4,991.69"
161,6.32196E+15,Tapculpo,"$8,318.89"
162,2538103923277824,Sorovuh,"$9,254.63"
163,144861481140224,Girecuf,"$7,318.43"
164,4652126431084544,Miwcurof,"$7,971.94"
165,2429907699236864,Bafnere,"$8,991.17"
166,8989378277801984,Danwahi,"$2,276.38"
167,1.36401E+15,Zuhuziv,"$6,265.22"
168,1019949306871808,Adomamu,"$1,941.78"
169,5597508828921856,Hezamti,"$3,625.40"
170,6542329154371584,Odivepo,"$3,157.01"
171,1864204139102208,Ozdonuw,"$9,229.07"
172,599300203610112,Turoner,"$2,501.35"
173,7169532569321472,Cagcukciw,"$4,440.48"
174,4.88588E+15,Jisofum,"$8,402.80"
175,8295175082213376,Ukosasu,"$5,257.39"
176,2409468960702464,Cavijmah,"$2,093.97"
177,3324343887069184,Ozjegzak,"$6,283.44"
178,4.36162E+15,Cuvovozu,"$9,307.57"
179,4138819213328384,Huduha,"$3,968.48"
180,40243501727744,Noewaho,"$3,652.22"
181,7.82505E+15,Nebzalsu,"$7,282.04"
182,3122625907785728,Ojotebu,"$4,410.69"
183,5522944916717568,Zudutu,$348.40
184,8491230396678144,Mijmoup,"$2,361.00"
185,8.75463E+15,Dikahzup,"$6,529.64"
186,6.97549E+15,Restesis,"$7,559.10"
187,6280910490042368,Mukiwev,"$7,244.63"
188,147000762826752,Rozozaw,$368.26
189,7609772752764928,Tuwikave,"$5,953.27"
190,8233236217987072,Mejdatip,"$7,254.83"
191,6001299935985664,Vetbafno,"$8,637.21"
192,6970054264487936,Bogizpak,"$8,597.92"
193,7399940399562752,Gaiziisa,"$3,246.48"
194,170720990593024,Niniznol,"$5,259.57"
195,5962939202797568,Nusaniv,"$4,935.65"
196,5397245933387776,Toviwauci,$979.88
197,6072582008733696,Ipnogu,"$9,516.48"
198,6134521699237888,Wibkoej,$611.60
199,2892636568420352,Evvocum,"$2,875.15"
200,8927282271879168,Lidsilone,$76.13
201,8514252883099648,Afdevmak,"$5,003.59"
202,7915669588803584,Hipbelze,"$4,097.66"
203,2.59194E+15,Gupazbe,"$9,983.68"
204,5215666932023296,Mobvecdi,"$6,517.69"
205,7.31281E+15,Cinfihek,"$5,536.26"
206,7074496236224512,Jelhafbi,"$5,329.85"
