Lot No.,Vendor,Item Description,Reserve
1,8310324308475904,Nuvababa,"$1,356.13"
2,6667169915994112,Jocdeilo,"$4,537.75"
3,5.42138E+15,Atnijca,"$6,698.12"
4,7724377242075136,Hejgisof,"$7,829.93"
5,7.50724E+15,Kivunva,"$9,128.35"
6,1196435248775168,Cuzarago,"$7,942.81"
7,7093485916127232,Gocdoaf,"$7,480.35"
8,2959995423424512,Ozhipac,"$3,009.18"
9,1.4033E+15,Dumotwi,"$3,285.83"
10,7448089474367488,Ohfakfos,"$1,642.65"
11,2297690595524608,Walgijkak,"$2,212.19"
12,7444281243467776,Azokedin,"$2,264.66"
13,6721883279982592,Rufagdo,"$3,817.23"
14,8755285954920448,Zabvilbu,"$7,721.08"
15,1466473899884544,Dinita,"$5,935.18"
16,1801124856201216,Gowutza,"$9,486.61"
17,6079577065521152,Bisuno,$520.72
18,5830310075826176,Lalwofwe,"$2,802.90"
19,6716658976555008,Arafeto,"$2,612.63"
20,8457956305666048,Pesruvwim,"$7,247.82"
21,2120122539966464,Zipiuga,"$2,927.51"
22,4574348000100352,Boraso,$936.36
23,6006065671962624,Ajcaolu,"$2,267.44"
24,534009738166272,Hosubco,"$7,786.97"
25,2.16325E+15,Beccojis,"$9,992.89"
26,2057991077494784,Toggazgod,"$9,850.85"
27,4.9266E+15,Mumkobkan,"$7,375.30"
28,5504011824267264,Dorwuhwu,"$1,232.06"
29,5686021918294016,Kuhrekkeg,"$2,303.86"
30,205922477539328,Baziwu,"$3,028.59"
31,5167133046603776,Codmekab,$17.94
32,3.21628E+15,Dapmuto,"$3,180.76"
33,6637573912920064,Baplakzec,"$1,862.93"
34,5018408290615296,Uwvamde,"$3,598.07"
35,1.38512E+15,Ojifoho,"$1,852.11"
36,1638319161081856,Camezip,"$5,571.05"
37,1037696088670208,Atpofi,"$4,139.75"
38,6189589081358336,Huhedap,"$6,556.36"
39,5415009085554688,Sowcemeg,"$8,295.44"
40,8973939002834944,Otedooko,"$4,151.62"
41,5.89391E+15,Rowicjuw,"$1,205.26"
42,6770077074456576,Ifonennit,"$3,548.71"
43,1190054525403136,Bielwaf,"$3,206.98"
44,4932798718672896,Biptocer,"$9,950.12"
45,1747649304723456,Wehdoci,"$9,705.92"
46,7801080345788416,Puplijbev,$842.54
47,3292954363953152,Duketo,"$9,297.75"
48,1186848112115712,Torursa,"$7,622.98"
49,3.94058E+15,Mucfecu,"$9,891.13"
50,2996777099722752,Cepfoca,"$8,707.92"
51,6949406974672896,Ifudefu,"$8,110.79"
52,2698752448004096,Egdatfim,"$5,367.31"
53,2484264146829312,Ifezuceg,"$4,265.19"
54,4890831808888832,Jiibno,"$7,919.66"
55,2588543469748224,Wuikufu,$260.73
56,1234309465767936,Dudecdob,"$2,454.70"
57,2038049733083136,Etiturup,"$4,779.35"
58,4451482703233024,Vawivgu,$925.84
59,6137967900884992,Wubceger,"$3,949.57"
60,1.129E+15,Hupvovhuz,$268.35
61,5.58968E+15,Vuwormu,"$1,869.49"
62,1.95246E+15,Juicgod,"$9,522.67"
63,3339854823817216,Olawevri,$947.68
64,8568316020916224,Uraobta,"$1,876.90"
65,3587603802619904,Bonemo,"$3,694.95"
66,1314593160822784,Pujkadnel,"$2,937.54"
67,5.3927E+15,Wezneora,"$9,896.38"
68,1493645291159552,Lanarto,"$8,052.41"
69,3539161602588672,Dujvugec,"$4,951.55"
70,6638308012589056,Nehtepus,"$7,965.91"
71,1.23789E+15,Sugemo,"$1,837.12"
72,8190146518188032,Nihpizor,"$3,905.70"
73,5293591479975936,Kezkujla,"$3,420.70"
74,5561044365737984,Muenapi,"$5,638.53"
75,8651039066554368,Asehuir,"$9,196.05"
76,1717034679271424,Memedav,"$5,299.19"
77,7.70435E+15,Wobolmob,"$2,056.51"
78,1722625275461632,Geralik,"$5,031.65"
79,7856705553563648,Labtittav,"$8,478.77"
80,7187951333146624,Farmemtus,$49.33
81,952955868020736,Iguvejuh,"$5,613.66"
82,2518904603672576,Panuwpu,"$1,717.78"
83,5772553039642624,Duhimikus,"$1,410.50"
84,3901603801202688,Gezuet,$459.80
85,6507953695752192,Vesvuaca,"$4,424.10"
86,6168050460000256,Gambovol,"$7,525.23"
87,8242630225821696,Alsuzzo,"$8,363.59"
88,3853550354432,Mofojwe,"$8,311.96"
89,4683219796492288,Vignozow,"$2,520.79"
90,8954326963716096,Discudpa,"$4,628.44"
