v8-version,7,6,303,29,0
code-creation,Builtin,3,4172,0x7ff7dd505c00,1646,RecordWrite
code-creation,Builtin,3,4189,0x7ff7dd506280,461,EphemeronKeyBarrier
code-creation,Builtin,3,4198,0x7ff7dd506460,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,4206,0x7ff7dd5064a0,294,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,4216,0x7ff7dd5065e0,203,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,4228,0x7ff7dd5066c0,260,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,4237,0x7ff7dd5067e0,285,CallFunction_ReceiverIsAny
code-creation,Builtin,3,4244,0x7ff7dd506900,162,CallBoundFunction
code-creation,Builtin,3,4269,0x7ff7dd5069c0,105,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,4277,0x7ff7dd506a40,105,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,4286,0x7ff7dd506ac0,105,Call_ReceiverIsAny
code-creation,Builtin,3,4306,0x7ff7dd506b40,922,CallProxy
code-creation,Builtin,3,4328,0x7ff7dd506ee0,78,CallVarargs
code-creation,Builtin,3,4335,0x7ff7dd506f40,1008,CallWithSpread
code-creation,Builtin,3,4344,0x7ff7dd507340,1006,CallWithArrayLike
code-creation,Builtin,3,4352,0x7ff7dd507740,103,CallForwardVarargs
code-creation,Builtin,3,4359,0x7ff7dd5077c0,103,CallFunctionForwardVarargs
code-creation,Builtin,3,4367,0x7ff7dd507840,157,CallFunctionTemplate_CheckAccess
code-creation,Builtin,3,4375,0x7ff7dd5078e0,269,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,3,4382,0x7ff7dd507a00,378,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,3,4391,0x7ff7dd507b80,26,ConstructFunction
code-creation,Builtin,3,4398,0x7ff7dd507ba0,162,ConstructBoundFunction
code-creation,Builtin,3,4405,0x7ff7dd507c60,28,ConstructedNonConstructable
code-creation,Builtin,3,4413,0x7ff7dd507c80,86,Construct
code-creation,Builtin,3,4420,0x7ff7dd507ce0,78,ConstructVarargs
code-creation,Builtin,3,4427,0x7ff7dd507d40,1032,ConstructWithSpread
code-creation,Builtin,3,4437,0x7ff7dd508160,1084,ConstructWithArrayLike
code-creation,Builtin,3,4444,0x7ff7dd5085a0,142,ConstructForwardVarargs
code-creation,Builtin,3,4452,0x7ff7dd508640,142,ConstructFunctionForwardVarargs
code-creation,Builtin,3,4460,0x7ff7dd5086e0,328,JSConstructStubGeneric
code-creation,Builtin,3,4469,0x7ff7dd508840,244,JSBuiltinsConstructStub
code-creation,Builtin,3,4476,0x7ff7dd508940,955,FastNewObject
code-creation,Builtin,3,4484,0x7ff7dd508d00,305,FastNewClosure
code-creation,Builtin,3,4491,0x7ff7dd508e40,213,FastNewFunctionContextEval
code-creation,Builtin,3,4498,0x7ff7dd508f20,213,FastNewFunctionContextFunction
code-creation,Builtin,3,4506,0x7ff7dd509000,258,CreateRegExpLiteral
code-creation,Builtin,3,4513,0x7ff7dd509120,606,CreateEmptyArrayLiteral
code-creation,Builtin,3,4521,0x7ff7dd509380,1268,CreateShallowArrayLiteral
code-creation,Builtin,3,4529,0x7ff7dd509880,1914,CreateShallowObjectLiteral
code-creation,Builtin,3,4536,0x7ff7dd50a000,890,ConstructProxy
code-creation,Builtin,3,4543,0x7ff7dd50a380,356,JSEntry
code-creation,Builtin,3,4551,0x7ff7dd50a500,356,JSConstructEntry
code-creation,Builtin,3,4558,0x7ff7dd50a680,356,JSRunMicrotasksEntry
code-creation,Builtin,3,4565,0x7ff7dd50a800,102,JSEntryTrampoline
code-creation,Builtin,3,4573,0x7ff7dd50a880,102,JSConstructEntryTrampoline
code-creation,Builtin,3,4580,0x7ff7dd50a900,312,ResumeGeneratorTrampoline
code-creation,Builtin,3,4588,0x7ff7dd50aa40,709,StringCharAt
code-creation,Builtin,3,4595,0x7ff7dd50ad20,846,StringCodePointAtUTF16
code-creation,Builtin,3,4602,0x7ff7dd50b080,850,StringCodePointAtUTF32
code-creation,Builtin,3,4610,0x7ff7dd50b3e0,556,StringEqual
code-creation,Builtin,3,4617,0x7ff7dd50b620,272,StringGreaterThan
code-creation,Builtin,3,4624,0x7ff7dd50b740,272,StringGreaterThanOrEqual
code-creation,Builtin,3,4632,0x7ff7dd50b860,1229,StringIndexOf
code-creation,Builtin,3,4639,0x7ff7dd50bd40,272,StringLessThan
code-creation,Builtin,3,4647,0x7ff7dd50be60,272,StringLessThanOrEqual
